Type,AccountID,ConID,SecurityID,Symbol,BBTicker,BBGlobalID,SecurityDescription,AssetType,Currency,BaseCurrency,Quantity,QuantityInBase,CostPrice,CostBasis,CostBasisInBase,MarketPrice,MarketValue,MarketValueInBase,OpenDateTime,FxRateToBase,ReportDate,SettledQuantity,SettledQuantityInBase,MasterAccountID,Van,AccruedInt,OriginatingOrderID,Multiplier,
D,U5457571,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,6,0,61.180575,367.08345,367.08345,60.26,361.56,361.56,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,62,0,28.3868,1759.9816,1759.9816,12.63,783.06,783.06,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,21,0,109.20666667,2293.34,2293.34,92.55,1943.55,1943.55,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,24,0,72.98683271,1751.683985,1751.683985,62.71,1505.04,1505.04,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,158655765,US36162J1060,GEO,GEO,BBG000GC0TZ3,GEO GROUP INC/THE,STK,USD,USD,18,0,11.75482056,211.58677,211.58677,11.54,207.72,207.72,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,81,0,97.91895438,7931.435305,7931.435305,93.95,7609.95,7609.95,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,4627828,US38141G1040,GS,GS,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,STK,USD,USD,14,0,369.73,5176.22,5176.22,358.08,5013.12,5013.12,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,1520593,US46625H1005,JPM,JPM,BBG000DMBXR2,JPMORGAN CHASE & CO,STK,USD,USD,49,0,165.7589,8122.1861,8122.1861,132.88,6511.12,6511.12,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,9388,US55262C1009,MBI,MBI,BBG000BNQN34,MBIA INC,STK,USD,USD,30,0,13.056525,391.69575,391.69575,12.6,378,378,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,272093,US5949181045,MSFT,MSFT,BBG000BPH459,MICROSOFT CORP,STK,USD,USD,16,0,255.08745587,4081.399294,4081.399294,247.4,3958.4,3958.4,,1,20221208,0,0,F6017651,U5457571,0,,1,
